accu,eh
accuweather,niftyname
backstrokeofthewest,niftyname
bremsstrahlung,vocab
bronbron,finename
carvana,niftyname
codexseraphinianus,niftyname
crossfox,fine
drk,indie
edomex,nifty
einhander,indie
ereyesterday,nifty
everywhereattheendoftime,good
gatewaytothewest,good
googlefu,good
hardt,niftyname
houseofleaves,niftyname
isaly,finename
isalys,finename
itssobad,indie
licancabur,name
maltloaf,fine
mandelbulb,nifty
morbidlycurious,nifty
nazgul,good
nolannorth,finename
octarine,nifty
oneeighty,good
itsonlikedonkeykong,asset
onlikedonkeykong,good
onosecond,indie
overmorrow,nifty
ramune,nifty
satyrion,fine
southpointingchariot,nifty
tealoaf,fine
villageeast,niftyname
audreyii,niftyname
wearesoback,asset
eli5,good
explainlikeimfive,asset
aipsychosis,downer
inthelanguage,asset
neatoburrito,asset
pixelart,good
shoyu,good
zerg,finename
xpogo,name
onerepublic,niftyname
crunchatize,fine
ipman,niftyname
referencemarker,good
cheesecakefactory,good
trivianight,asset
girlsjustwannahavefun,asset
leee,name
porkbusters,nifty
junkofpork,nifty
sotruebestie,asset
guillemet,nifty
guillemets,nifty
prisencolinensinainciusol,nifty
celentano,niftyname
flemishgiant,nifty
houstonwehaveaproblem,good
cesinestpasunepipe,nifty
biclops,nifty
wineanddine,asset
ejae,goodname
nepobaby,asset
nepobabies,asset
howtowinfriendsandinfluencepeople,asset
youmakemesick,asset
cultureshift,good
steelyeyedmissileman,good
thumbelina,niftyname
lordosis,vocab
tuckeverlasting,niftyname
lockpickinglawyer,indie
darknet,nifty
severin,niftyname
maythefourthbewithyou,good
joycon,good
joycons,good
adayendinginy,good
adaythatendsiny,good
punxsutawneyphil,goodname
coneofshame,asset
cecinestpasunepipe,good
moodeng,goodname
linmanuelmiranda,niftyname
huy,niftyname
glub,good
glubs,good
glubbing,good
glubbed,good
glubglub,nifty
glubglubglub,seq
catdistributionsystem,asset
stumpspeech,good
hotsinglesinyourarea,nifty
themouse,goodname
takeoneleaveone,good
federalpoweract,fine
kingofthehill,asset
waroftheworlds,goodname
eyesofthelaw,nifty
intheeyesofthelaw,nifty
headoftheclass,nifty
littlefreelibrary,asset
littlefreelibraries,asset
chekhovsgun,nifty
chestertonsfence,nifty
sheepinthebigcity,finename
bearstheburden,good
soundproofbooth,nifty
tonesystem,fine
ceremonialpole,nifty
ceremonialpoles,nifty
culturalzeitgeist,nifty
sauceforthegoose,nifty
whatssauceforthegooseissauceforthegander,nifty
youllgodowninhistory,nifty
caramelldansen,nifty
smashthatlikebutton,asset
xcx,niftyname
aegospotami,natick
morrigan,nifty
germanhumor,nifty
lostinthesauce,asset
onthesauce,downer
jimbo,niftyname
rizz,asset
samething,good
cowcat,nifty
thneed,nifty
edutainment,asset
deadinternettheory,nifty
tierlist,asset
tierlists,asset
crudehumor,nifty
crudehumour,var
roblox,nifty
gavle,niftyname
gavlegoat,nifty
crudeiron,nifty
fadetowhite,nifty
gamedev,nifty
wukong,niftyname
sunwukong,niftyname
jira,niftyname
waifu,indie
husbando,indie
waifus,indie
husbandos,indie
liebyomission,nifty
lyingbyomission,fine
liedbyomission,fine
triplepoint,nifty
darrellwaltrip,finename
michaelwaltrip,finename
easternorthodoxy,nifty
robertripley,niftyname
wunderpus,nifty
manekineko,nifty
nanobanana,nifty
pheme,finename
spaghettiicecream,good
spaghettieis,good
illeatmyhat,good
fizzbuzz,nifty
iconography,nifty
leyline,nifty
leylines,nifty
axialtilt,vocab
philosoraptor,indie
cattax,asset
uwot,indie
punnett,niftyname
reginaldpunnett,niftyname
showerthought,good
showerthoughts,good
promptengineering,nifty
promptengineer,nifty
promptengineers,nifty
promptengineered,nifty
romantasy,asset
gravitron,nifty
gravitrons,nifty
ringofpower,nifty
ringsofpower,nifty
knowsforcertain,fine
knewforcertain,fine
parislasvegas,niftyname
parissyndrome,asset
crisisoffaith,asset
catgrass,good
faang,goodabbrev
floof,good
floofy,good
likeandsubscribe,asset
onionvolcano,good
backrooms,good
thebackrooms,good
howthesausagegetsmade,asset
vocaloid,nifty
vocaloids,nifty
pooky,niftyname
oscarbait,good
erastour,goodname
theerastour,goodname
internetofthings,good
companytime,good
oncompanytime,good
proshot,asset
letsleepingdogslie,nifty
letssleepingdogslie,nifty
lettingsleepingdogslie,nifty
theenemyofmyenemyismyfriend,nifty
theenemyofmyenemy,finename,nifty
slimetutorials,asset
slimetutorial,asset
hornandivory,vocab
gateofhornandivory,nifty
duckamuck,niftyname
patrickduffy,niftyname
mickdundee,niftyname
pianississimo,nifty
fortississimo,nifty
chilihead,nifty
chiliheads,nifty
